category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,P.S. 103 Thurgood Marshall Center,Beloved Community Services Corporation,,MD,,,1000000,S,Benjamin L. Cardin,C000141,sen,Democrat,Chris Van Hollen,V000128,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Constructing commercial kitchen to increase access to healthy food,Cross Street Partners,,MD,,,1400000,S,Benjamin L. Cardin,C000141,sen,Democrat,Chris Van Hollen,V000128,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Kingdom Cares Center,Kingdom Global Community Development Corporation,,MD,,,2000000,S,Chris Van Hollen,V000128,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Sparrows Point Park Project in Baltimore County,Office of the Baltimore County Executive,,MD,,,3000000,S,Benjamin L. Cardin,C000141,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Carthage Group Critical Internet Infrastructure,Greater Franklin Development Council,,ME,,,514000,S,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Gorham Industrial Park—West Campus Phase One,Town of Gorham,,ME,,,1000000,S,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Waldoboro Community Center and Medical Arts Facility,Town of Waldoboro,,ME,,,1000000,S,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Early Childhood Education Expansion—Bath Area Family YMCA,Bath Area Family YMCA,,ME,,,1456000,S,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Safe Voices Building Improvements,Safe Voices,,ME,,,394000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Millinocket—Remediation and Reuse Study of former Wastewater Treatment Plant,Our Katahdin,,ME,,,671000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Walkable Houlton Project,Town of Houlton,,ME,,,732000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Belfast Street Improvements,City of Belfast,,ME,,,972000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Bangor Commercial Kitchen Incubator,City of Bangor,,ME,,,1010000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Rockland Fish Pier Redevelopment,City of Rockland,,ME,,,1500000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Skowhegan Run of River Project,Main Street Skowhegan,,ME,,,2000000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Perkins Cove Revitalization Project,Town of Ogunquit,,ME,,,2850000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,East Millinocket Industrial Complex Redevelopment,Town of East Millinocket,,ME,,,2851000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Loring Economic Development Infrastructure Project,Loring Development Authority of Maine,,ME,,,3100000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,To expand and renovate the Katahdin Higher Education Center to increase access to childcare,Eastern Maine Community College,,ME,,,4000000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Town of Danforth Downtown Revitalization,Town of Danforth,,ME,,,120000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Land Acquisition for Stonington Water District Development,Town of Stonington,,ME,,,394000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Boys & Girls Clubs of Kennebec Valley Youth Center,Boys & Girls Clubs of Kennebec Valley,,ME,,,650000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Auburn Public Safety Building,City of Auburn,,ME,,,2500000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Downtown Berwick Safety Improvements and Revitalization,Town of Berwick,,ME,,,3142000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Dowagiac Housing Initiative,City of Dowagiac,,MI,,,100000,S,Gary C. Peters,P000595,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Traverse City Sewer and Water Facility Improvements to Support Affordable Housing Development,Grand Traverse Band of Ottawa and Chippewa Indians,,MI,,,750000,S,Gary C. Peters,P000595,sen,Democrat,Debbie Stabenow,S000770,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Corridor Revitalization Project— City of Sterling Heights,City of Sterling Heights,,MI,,,850000,S,Gary C. Peters,P000595,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Eastern Market Regional Food Business Accelerator,Eastern Market Corporation,,MI,,,1000000,S,Debbie Stabenow,S000770,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Phoenix Center Renovation,City of Pontiac,,MI,,,1000000,S,Gary C. Peters,P000595,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Renovating the Boys & Girls Clubs of Grand Rapids Youth Commonwealth Buildings and Facilities,Grand Rapids Youth Commonwealth Inc.,,MI,,,1000000,S,Debbie Stabenow,S000770,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,The Grand Agricultural Center of West Michigan,Kent County Youth Agriculture Association (KCYAA),,MI,,,2100000,S,Debbie Stabenow,S000770,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,St. Peter HRA—Parkview Manor Restoration,St. Peter Housing and Redevelopment Authority,,MN,,,300000,S,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Emergency Shelter Program,Hennepin County,,MN,,,500000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Mille Lacs Tribal Economy Business Incubator,Mille Lacs Corporate Ventures (MLCV),,MN,,,1300000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Rondo Net-Zero Community Center,ReConnect Rondo,,MN,,,1500000,S,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Greenville Federal Courthouse Greenspace,City of Greenville,,MS,,,500000,S,Roger F. Wicker,W000437,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Mississippi Water and Wastewater Workforce and Public Safety Training Center,Mississippi Rural Water Association,,MS,,,500000,S,Roger F. Wicker,W000437,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Capacity Development Initiative,Mississippi State University,,MS,,,815000,S,Cindy Hyde-Smith,H001079,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Comprehensive Community Revitalization,Mississippi State University,,MS,,,1000000,S,Cindy Hyde-Smith,H001079,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Ida B. Wells Social Justice and Interpretive Center at Rust College,Rust College,,MS,,,1000000,S,Roger F. Wicker,W000437,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,City of Cherryville City Hall ADA Project,City of Cherryville,,NC,,,810000,S,Richard Burr,B001135,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Innovation Quarter 2 Masterplan Urban Greenway Extension,Innovation Quarter,,NC,,,1721000,S,Richard Burr,B001135,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,South Ranlo Water System Improvement Project,City of Ranlo,,NC,,,2000000,S,Richard Burr,B001135,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Bermuda Run Recreational Infrastructure and Safety Improvements,City of Bermuda Run,,NC,,,3650000,S,Richard Burr,B001135,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,"HR Talent Portal for Transitioning Military Personnel, Military Spouses, and Veterans, Fayetteville, NC",Fayetteville Cumberland County,,NC,,,4000000,S,Richard Burr,B001135,sen,Republican,Thom Tillis,T000476,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Innovation Quarter 2 Masterplan Road and Bridge Improvements,Innovation Quarter,,NC,,,7210000,S,Richard Burr,B001135,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Rosemary’s Way Penacook Affordable Housing,CATCH Neighborhood Housing,,NH,,,250000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Affordable Housing in Portsmouth,NH Community Loan Fund,,NH,,,343000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Landlord-Tenant Mediation Program,New Hampshire Judicial Branch,,NH,,,556000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Shelter and Housing for Youth and Young Adults Who are Homeless,Waypoint,,NH,,,771000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Spring Street Forward,Nashua Soup Kitchen & Shelter,,NH,,,900000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,New Hampshire Regional Housing Needs and Comprehensive Planning,Strafford Regional Planning Commission (SRPC),,NH,,,950000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Littleton Regional Community Housing and Economic Empowerment Initiative,"Affordable Housing, Education and Development, Inc",,NH,,,970000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Champlin House Improvements,"Easterseals New Hampshire, Inc.",,NH,,,1000000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Community Action Partnership of Strafford County Innovation Center,Community Action Partnership of Strafford County,,NH,,,1000000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Increased Housing for Low to Moderate Income Families with Children,Seacoast Family Promise,,NH,,,1000000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Kelley Falls Affordable Housing Redevelopment,Manchester Housing and Redevelopment Authority,,NH,,,1000000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Diane Grimes Memorial Park Improvement,Borough of Woodland Park,,NJ,,,95000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Modernization of the Golden Gardens Apartment Complex Elevator,Guttenberg Housing Authority,,NJ,,,232000,S,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Brick Township Senior Services,Township of Brick,,NJ,,,400000,S,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Riverfront Promenade Bandshell project,City of Burlington,,NJ,,,400000,S,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Municipal Traffic Calming Program,Township of North Bergen,,NJ,,,488000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Homelessness prevention services,City of Newark,,NJ,,,500000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Union City Soccer Field and recreational complex,City of Union City,,NJ,,,500000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,YWCA Union County Headquarters Rebuilding Project,YWCA Eastern Union County,,NJ,,,500000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Permanent affordable housing,"Community Loan Fund of New Jersey, Inc.",,NJ,,,800000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,City of Passaic Pedestrian Greenway Project,City of Passaic,,NJ,,,883000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Mixed use recreational facility,City of Trenton,,NJ,,,1000000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Woodbridge Township Cypress Park,Township of Woodbridge,,NJ,,,1000000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Plainfield Professional Trades Training Center,Union County College,,NJ,,,1500000,S,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Hamilton Street Plaza Project,Borough of Bound Brook,,NJ,,,2200000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,"BMG Lakewood, NJ Childcare Expansion Initiative",Beth Medrash Govoha of America,,NJ,,,3000000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Improvements to West Atco Community Center,Winslow Township,,NJ,,,3000000,S,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Affordable housing opportunities,City of Newark,,NJ,,,8000000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Acoma Business Park,Pueblo of Acoma,,NM,,,1500000,S,Martin Heinrich,H001046,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Barelas Central Kitchen Street Food Institute,Street Food Institute,,NM,,,2000000,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Nevada State College Flood Control,City of Henderson,,NV,,,2000000,S,Catherine Cortez Masto,C001113,sen,Democrat,Jacky Rosen,R000608,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Nevada Cares Campus,Washoe County,,NV,,,12000000,S,Catherine Cortez Masto,C001113,sen,Democrat,Jacky Rosen,R000608,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Food Security in the City of Newburgh,City of Newburgh,,NY,,,300000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,The Michigan Street African American Heritage Corridor Commission Strategic Action Plan Project Phase II,Michigan Street African American Heritage Corridor,,NY,,,300000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Equitable Home Ownership Program (EHOP),Ibero-American Action League Inc.,,NY,,,400000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Greenhouse Shelter,Green Door Management,,NY,,,450000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,New Cassel Community Building Renovation Project,Town of North Hempstead,,NY,,,480000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,"Capital Improvements to Ohel’s Camp Kaylie in Wurtsboro, NY",Ohel Children’s Home and Family Services,,NY,,,495000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Small business loans for underserved communities,CenterState Corporation for Economic Opportunity,,NY,,,500000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Greater Ithaca Activities Center Programs Expansion,"Greater Ithaca Activities Center, Inc.",,NY,,,800000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Veterans Community Resource Center,Long Island Coalition for the Homeless,,NY,,,900000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Resurgent Neighborhoods Initiative New Home Construction,City of Syracuse,,NY,,,1000000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Women and Women with Families Emergency Homeless Shelter,UCAN City Mission,,NY,,,1000000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,Youth Recreation Center for the City of Binghamton,City of Binghamton,,NY,,,1000000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transportation, and Housing and Urban Development, and Related Agencies",Department of Housing and Urban Development,Community Development Fund,The Blake Annex by United Way of the Greater Capital Region,United Way of the Greater Capital Region,,NY,,,1075000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
